vehicle_id,fuel_type,vehicle_type,timestamp,mq2,mq135,co2_ppm,co_ppm,nox_ppb,pm25_ugm3,temperature,humidity,aqi_status
VH001,Diesel,Heavy Truck,2026-07-24 18:43:56.213000,220.7,174.8,435.5,0.13,38.9,9.06,74.0,37.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:44:11.213000,222.7,191.1,482.3,7.97,52.1,9.91,74.6,39.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:44:26.213000,196.1,306.9,446.5,3.79,17.7,1.82,67.4,39.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:44:41.213000,291.6,286.3,561.3,6.8,43.2,0.24,87.2,52.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:44:56.213000,298.7,249.7,580.7,8.49,29.1,0.02,62.1,47.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:45:11.213000,290.9,136.5,485.1,3.53,20.4,2.49,70.2,46.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:45:26.213000,264.5,290.7,593.5,0.47,82.8,0.73,64.8,62.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:45:41.213000,146.5,121.2,484.6,8.26,13.9,8.88,66.4,44.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:45:56.213000,139.2,241.1,593.4,1.38,52.1,11.2,71.0,57.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:46:11.213000,94.8,93.9,544.8,1.2,38.6,3.06,80.7,34.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:46:26.213000,197.0,152.8,474.3,5.19,28.9,13.22,67.9,49.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:46:41.213000,128.2,127.1,502.0,3.59,68.3,1.05,59.9,60.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:46:56.213000,161.9,258.8,563.7,1.49,13.9,8.08,60.1,61.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:47:11.213000,146.3,210.9,420.5,3.41,76.6,11.74,70.8,51.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:47:26.213000,279.4,246.1,458.5,1.83,32.7,5.14,67.8,40.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:47:41.213000,248.5,273.3,497.8,2.25,77.7,8.49,79.6,39.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:47:56.213000,145.3,184.2,392.7,7.19,24.1,12.79,66.7,63.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:48:11.213000,179.0,111.7,416.3,1.58,35.9,3.61,64.3,37.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:48:26.213000,196.1,137.6,607.2,2.66,16.5,11.59,76.1,64.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:48:41.213000,263.1,290.1,578.6,13.9,44.4,19.5,61.6,39.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:48:56.213000,266.8,194.9,598.2,9.02,69.6,9.55,88.4,37.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:49:11.213000,117.6,253.2,586.5,2.8,39.5,0.0,80.4,46.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:49:26.213000,125.1,122.1,415.4,1.52,49.3,10.16,65.6,59.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:49:41.213000,167.6,312.6,468.0,1.6,44.5,2.35,68.2,58.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:49:56.213000,156.0,226.2,493.8,5.66,69.6,3.56,81.2,56.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:50:11.213000,303.2,273.6,539.0,8.21,48.2,10.74,64.7,56.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:50:26.213000,277.6,147.7,408.5,9.83,14.1,16.7,84.6,54.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:50:41.213000,272.9,162.9,523.7,5.51,64.5,1.84,79.2,50.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:50:56.213000,234.1,260.3,583.6,6.69,72.2,9.84,83.3,53.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:51:11.213000,205.8,305.2,567.9,3.1,67.6,10.94,73.7,49.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:51:26.213000,181.8,206.1,541.8,8.28,40.5,3.27,58.5,65.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:51:41.213000,242.0,160.0,414.7,8.18,29.4,1.29,57.5,37.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:51:56.213000,129.7,168.7,581.7,7.6,29.2,9.52,58.7,57.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:52:11.213000,275.0,125.0,547.8,6.44,21.6,10.04,83.1,36.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:52:26.213000,135.6,237.8,447.5,5.02,66.5,9.49,77.4,45.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:52:41.213000,93.5,93.6,554.1,7.41,49.3,4.86,67.9,57.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:52:56.213000,144.8,262.3,445.9,0.81,34.5,8.71,64.2,53.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:53:11.213000,254.6,319.2,496.3,8.12,50.0,9.02,59.1,35.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:53:26.213000,363.4,112.1,422.0,11.0,65.9,13.01,63.0,39.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:53:41.213000,205.5,267.1,479.3,5.49,22.5,8.75,84.7,42.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:53:56.213000,181.3,108.1,479.1,2.77,36.6,14.53,58.3,40.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:54:11.213000,109.5,240.4,490.4,5.71,22.0,14.92,68.2,36.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:54:26.213000,279.5,280.6,458.2,8.39,19.5,5.21,56.6,53.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:54:41.213000,247.6,169.8,603.7,2.21,57.5,1.63,67.6,52.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:54:56.213000,131.0,215.2,505.9,8.16,37.2,7.63,83.8,50.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:55:11.213000,179.0,303.1,541.3,8.42,54.6,12.76,65.3,37.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:55:26.213000,151.0,347.8,525.7,2.18,49.5,12.37,76.2,51.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:55:41.213000,112.9,335.6,458.6,3.0,43.0,13.82,56.0,57.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:55:56.213000,121.2,111.6,577.4,1.66,23.6,3.01,89.1,61.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:56:11.213000,294.6,179.3,561.8,3.45,62.7,15.18,64.6,62.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:56:26.213000,280.1,325.9,489.8,2.79,35.1,4.52,59.6,59.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:56:41.213000,205.2,248.3,404.1,2.53,23.8,6.08,68.1,51.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:56:56.213000,132.3,233.3,429.7,3.62,24.2,14.76,72.7,52.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:57:11.213000,95.1,119.7,409.0,3.04,57.5,4.51,56.2,62.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:57:26.213000,251.7,202.1,553.7,2.34,37.8,7.25,79.9,58.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:57:41.213000,182.6,294.2,497.4,7.58,25.3,14.26,78.4,57.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:57:56.213000,215.6,116.2,388.9,6.88,32.4,8.44,87.2,59.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:58:11.213000,124.8,172.3,551.3,8.16,34.5,13.25,57.9,39.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:58:26.213000,275.6,206.3,461.7,9.57,37.1,12.23,75.2,56.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:58:41.213000,199.1,227.6,414.8,7.04,14.0,10.01,86.5,56.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:58:56.213000,221.9,179.4,434.0,0.57,76.2,2.48,90.1,41.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:59:11.213000,109.4,157.5,443.1,8.46,51.9,3.73,83.8,57.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:59:26.213000,136.6,296.2,564.4,6.86,20.6,13.83,61.2,42.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:59:41.213000,248.1,149.6,451.4,4.85,26.7,4.13,66.6,55.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:59:56.213000,260.4,111.9,473.9,1.5,46.1,6.38,68.8,41.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:00:11.213000,111.2,324.1,525.7,4.8,10.9,2.68,71.0,58.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:00:26.213000,236.6,117.4,583.8,1.42,29.4,0.1,56.8,49.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:00:41.213000,358.2,334.8,458.2,9.81,38.9,21.98,85.4,56.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:00:56.213000,190.6,237.4,467.3,5.07,23.6,11.99,82.7,40.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:01:11.213000,238.6,274.6,528.1,3.97,53.4,12.9,59.6,55.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:01:26.213000,268.9,210.3,420.0,1.92,7.5,8.85,65.7,60.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:01:41.213000,143.0,307.1,499.1,1.66,33.1,1.81,62.9,47.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:01:56.213000,131.7,253.0,476.8,9.2,32.8,10.67,88.7,58.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:02:11.213000,264.1,216.7,569.4,7.68,34.9,12.07,56.0,66.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:02:26.213000,110.7,321.4,573.4,8.56,32.2,6.44,55.2,53.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:02:41.213000,136.4,242.8,436.7,5.24,74.9,5.91,70.2,56.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:02:56.213000,132.8,99.4,474.7,1.01,55.5,12.21,66.3,37.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:03:11.213000,302.5,152.5,518.2,5.62,20.8,13.8,73.1,55.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:03:26.213000,227.7,97.8,554.9,3.21,69.5,12.51,72.7,50.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:03:41.213000,230.2,148.2,574.8,8.21,83.1,15.07,84.1,37.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:03:56.213000,271.3,299.2,519.4,3.52,57.1,14.28,88.6,57.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:04:11.213000,229.3,127.2,391.2,6.83,45.6,6.48,89.4,48.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:04:26.213000,215.5,110.3,475.2,5.18,50.1,13.48,74.7,39.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:04:41.213000,132.0,281.1,558.0,8.74,11.4,1.88,57.0,59.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:04:56.213000,172.7,300.6,407.4,1.39,27.6,13.97,67.1,43.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:05:11.213000,253.5,315.2,540.5,8.62,71.8,4.5,78.4,54.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:05:26.213000,112.5,154.7,410.9,5.98,34.6,7.35,67.5,36.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:05:41.213000,255.8,103.1,582.8,2.7,50.2,12.86,67.0,51.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:05:56.213000,141.7,337.3,537.2,2.04,73.9,2.78,66.8,50.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:06:11.213000,164.9,180.9,472.5,3.31,73.0,6.91,60.0,48.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:06:26.213000,229.5,182.4,518.9,2.14,32.9,0.53,61.7,52.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 19:06:41.213000,350.9,415.3,767.2,11.01,107.1,23.35,99.8,41.8,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:06:56.213000,369.0,403.9,743.1,11.64,103.8,23.38,98.0,42.8,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:07:11.213000,353.7,396.8,744.5,11.51,107.7,21.83,96.2,55.3,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:07:26.213000,356.1,406.1,747.4,10.87,103.1,22.43,96.4,54.3,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:07:41.213000,327.9,380.6,700.7,10.04,99.8,19.13,95.6,50.9,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:07:56.213000,336.3,383.7,695.1,10.37,96.9,17.71,93.6,37.6,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:08:11.213000,341.9,396.8,713.8,10.44,99.2,20.48,94.5,50.3,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:08:26.213000,365.9,419.3,781.8,11.69,111.5,24.54,99.5,53.7,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:08:41.213000,356.4,403.6,752.9,11.06,105.5,24.59,96.6,42.0,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:08:56.213000,342.8,380.0,684.0,10.29,99.6,19.51,94.1,50.1,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:09:11.213000,350.6,399.3,699.4,10.35,98.4,21.51,94.8,47.4,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:09:26.213000,342.3,394.7,686.7,10.95,99.9,21.46,97.1,62.9,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:09:41.213000,356.5,404.0,752.4,11.39,105.8,22.18,97.8,45.8,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:09:56.213000,348.7,414.4,752.8,11.66,106.6,21.49,98.3,60.7,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:10:11.213000,341.8,377.0,691.5,10.85,95.5,21.07,97.3,55.5,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:10:26.213000,375.0,414.4,781.2,11.79,116.2,23.41,98.4,60.6,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:10:41.213000,334.1,380.6,679.8,10.16,97.9,17.64,95.3,34.1,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:10:56.213000,342.1,399.8,740.4,11.13,99.5,21.14,95.7,64.5,Moderate
VH001,Diesel,Heavy Truck,2026-07-24 19:11:11.213000,588.1,627.6,1533.9,25.57,228.7,55.98,137.7,49.7,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:11:26.213000,574.1,643.8,1547.3,25.47,229.5,58.05,138.1,48.6,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:11:41.213000,529.4,595.8,1372.4,22.14,207.8,49.1,132.2,59.9,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:11:56.213000,540.4,574.2,1331.5,20.94,195.5,48.68,131.2,54.6,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:12:11.213000,543.1,588.6,1346.7,21.54,196.7,47.81,132.3,58.8,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:12:26.213000,587.6,627.2,1526.8,25.45,228.3,56.41,139.1,57.2,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:12:41.213000,530.2,590.2,1364.4,22.47,205.6,49.38,133.4,37.7,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:12:56.213000,525.7,580.2,1319.6,21.12,199.7,46.9,129.8,42.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:13:11.213000,578.6,635.8,1490.8,24.94,228.8,56.2,137.1,54.8,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:13:26.213000,561.1,616.1,1469.1,24.36,219.5,52.42,134.4,66.1,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:13:41.213000,544.3,581.8,1329.1,21.6,202.7,47.42,129.8,34.0,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:13:56.213000,547.6,584.3,1366.0,22.98,208.0,51.16,133.6,34.2,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:14:11.213000,535.2,605.0,1370.0,22.62,206.6,50.99,134.4,54.8,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:14:26.213000,553.3,603.1,1436.0,23.67,214.9,50.83,136.2,48.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:14:41.213000,539.2,572.5,1325.9,21.77,194.6,46.38,130.4,46.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:14:56.213000,550.7,604.7,1427.2,23.6,218.9,53.97,133.5,55.2,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:15:11.213000,589.0,632.0,1559.2,25.82,232.9,57.07,138.3,59.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:15:26.213000,592.8,649.5,1558.6,26.28,236.2,58.05,139.0,36.8,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:15:41.213000,535.0,591.1,1386.3,22.91,207.5,49.74,134.2,51.7,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:15:56.213000,577.8,631.2,1483.1,24.21,220.1,55.17,135.7,36.5,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:16:11.213000,523.3,574.3,1323.1,21.76,201.1,49.55,129.5,37.2,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:16:26.213000,582.4,633.6,1525.3,25.95,230.6,55.22,137.1,56.5,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:16:41.213000,554.5,587.9,1364.2,22.38,203.3,50.37,133.8,57.4,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:16:56.213000,594.1,622.4,1545.7,25.46,230.0,54.92,136.6,55.6,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:17:11.213000,684.4,750.5,1973.9,34.03,295.7,73.42,154.8,57.6,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:17:26.213000,683.9,733.0,1932.6,34.09,292.8,72.31,157.4,52.1,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:17:41.213000,670.8,729.4,1920.5,33.64,286.3,73.44,155.6,44.3,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:17:56.213000,707.2,758.0,2030.9,35.55,309.5,75.34,154.6,34.9,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:18:11.213000,709.4,747.0,1988.0,34.62,299.6,73.59,155.5,43.5,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:18:26.213000,689.4,739.2,1973.5,34.18,295.7,74.81,156.8,51.6,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:18:41.213000,669.5,725.4,1907.4,32.95,291.2,73.26,157.1,62.9,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:18:56.213000,687.8,736.4,1976.6,34.41,298.2,72.88,157.6,43.8,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:19:11.213000,680.0,744.3,1941.4,33.78,288.4,73.54,154.1,56.1,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:19:26.213000,677.2,733.5,1950.4,33.38,289.4,72.21,156.7,41.8,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:19:41.213000,527.5,597.3,1341.9,22.06,203.1,49.63,133.5,40.2,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:19:56.213000,594.9,638.8,1570.5,26.31,240.2,56.85,141.6,65.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:20:11.213000,571.7,623.3,1517.4,25.35,226.0,57.49,139.5,46.5,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:20:26.213000,560.5,607.7,1407.1,22.74,207.9,51.97,135.2,45.3,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:20:41.213000,690.8,740.7,2013.1,35.31,298.6,76.3,157.3,63.3,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:20:56.213000,575.8,638.4,1558.5,26.15,231.0,55.94,140.6,47.6,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:21:11.213000,712.8,761.6,2079.2,36.0,309.4,76.44,157.3,36.6,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:21:26.213000,676.7,733.7,1949.8,33.57,288.1,72.52,154.3,49.4,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:21:41.213000,722.4,781.4,2097.8,36.79,310.3,77.76,155.7,51.8,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:21:56.213000,723.3,768.9,2089.8,36.92,315.1,78.48,157.1,60.0,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:22:11.213000,547.8,607.1,1391.4,22.48,206.6,50.1,132.6,43.1,Poor
VH001,Diesel,Heavy Truck,2026-07-24 19:22:26.213000,707.9,770.7,2042.1,36.24,310.7,78.3,156.4,62.7,Dangerous
VH001,Diesel,Heavy Truck,2026-07-24 19:22:41.213000,722.8,761.7,2050.9,36.63,313.6,78.16,156.4,37.8,Dangerous
VH002,Petrol,Passenger Car,2026-07-24 18:36:41.213000,117.8,180.3,422.5,0.61,20.0,1.03,59.6,55.5,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:36:56.213000,127.1,91.9,409.7,1.17,19.9,2.03,66.9,42.1,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:37:11.213000,96.2,266.7,527.9,6.69,40.5,4.83,77.5,52.6,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:37:26.213000,191.7,222.2,546.8,1.92,41.2,7.24,70.3,67.6,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:37:41.213000,196.4,200.0,421.1,6.53,15.6,6.12,56.0,63.6,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:37:56.213000,94.6,135.0,416.3,0.98,40.7,10.8,47.9,52.7,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:38:11.213000,188.7,123.3,454.9,2.45,27.3,0.0,72.1,56.0,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:38:26.213000,134.3,121.4,399.1,6.39,5.2,5.97,75.3,54.8,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:38:41.213000,169.8,129.0,501.8,4.63,27.9,3.18,45.6,56.3,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:38:56.213000,108.6,73.7,483.2,5.22,43.4,10.22,76.3,52.6,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:39:11.213000,127.3,164.7,379.9,6.06,23.2,6.17,65.6,41.3,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:39:26.213000,200.9,175.6,474.0,3.31,40.0,2.8,48.5,43.9,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:39:41.213000,92.1,176.5,486.6,3.37,30.7,3.53,77.6,44.5,Safe
VH002,Petrol,Passenger Car,2026-07-24 18:39:56.213000,113.9,225.9,390.1,0.62,5.8,6.56,47.5,54.6,Safe
